"product_id","order_purchase_weekday","last_sale"
"00066f42aeeb9f3007548bb9d3f33c38",Sunday,Sunday
"00088930e925c41fd95ebfe695fd2655",Tuesday,Tuesday
"0009406fd7479715e4bef61dd91f2462",Thursday,Thursday
"000b8f95fcb9e0096488278317764d19",Friday,Wednsday
"000d9be29b5207b54e86aa1b1ac54872",Tuesday,Tuesday
"0011c512eb256aa0dbbb544d8dffcf6e",Thursday,Thursday
"00126f27c813603687e6ce486d909d01",Sunday,Sunday
"001795ec6f1b187d37335e1c4704762e",Saturday,Wednsday
"001b237c0e9bb435f2e54071129237e9",Thursday,Thursday
"001b72dfd63e9833e8c02742adf472e3",Wednsday,Wednsday
"001c5d71ac6ad696d22315953758fa04",Wednsday,Wednsday
"00210e41887c2a8ef9f791ebc780cc36",Thursday,Thursday
"002159fe700ed3521f46cfcf6e941c76",Saturday,Wednsday
"0021a87d4997a48b6cef1665602be0f5",Thursday,Thursday
"00250175f79f584c14ab5cecd80553cd",Saturday,Tuesday
"002552c0663708129c0019cc97552d7d",Thursday,Thursday
"002959d7a0b0990fe2d69988affcbc80",Saturday,Saturday
"002af88741ba70c7b5cf4e4a0ad7ef85",Friday,Friday
"002c6dab60557c48cfd6c2222ef7fd76",Thursday,Thursday
"002d4ea7c04739c130bb74d7e7cd1694",Tuesday,Tuesday
"002ec297b1b00fb9dde7ee6ac24b6771",Saturday,Saturday
"0030026a6ddb3b2d1d4bc225b4b4c4da",Wednsday,Wednsday
"0030e635639c898b323826589761cf23",Friday,Tuesday
"003128f981470c3e5a2e7445e4a771cd",Saturday,Sunday
"0036bb031e69d915cd384d1b3838b5d3",Wednsday,Wednsday
"003938452c98ff9ab28e9e7b4bfe97ab",Saturday,Saturday
"003962cb74a8b43cf1034fed541a76f0",Thursday,Thursday
"003a31970fea14fffe92ac856b8a9b97",Friday,Friday
"003c0b8f6580c850bd2e32044d2ac307",Wednsday,Wednsday
"003dbcabcf8e3231de657c7d9f9a5eba",Tuesday,Wednsday
"004154251837f6ac124ad4374b3a8148",Monday,Monday
"0042f1a9a7e0edd1400c6cd0fda065f8",Tuesday,Tuesday
"0043c62d00db47eff6a6bc4cf6bfaeda",Friday,Friday
"0043d1a25ef08fb6f41b8fa6f91742ab",Saturday,Saturday
"0044d70d4e53450c0fbb8255446a797b",Friday,Friday
"004552d98c5d3653af8b4dbe8def0048",Wednsday,Wednsday
"004636c889c7c3dad6631f136b7fa082",Monday,Thursday
"004ffcbfa5aac82212a95bc972ea8a85",Thursday,Thursday
"005030ef108f58b46b78116f754d8d38",Friday,Wednsday
"005c6b24cc96dca3e2c01e824401030e",Saturday,Saturday
"0060b415594c5e1200324ef1a18493c4",Tuesday,Tuesday
"00636f9286f69c9f1bdabe76e670fb50",Sunday,Tuesday
"006508eabcc19ae52ed87323124ad0e9",Wednsday,Wednsday
"006619bbed68b000c8ba3f8725d5409e",Thursday,Thursday
"0067f97995b0c3a86739734dc87ee6b6",Monday,Monday
"006baa9a5b8f95895f15273a35bc2664",Thursday,Wednsday
"006c67546bfe73c33b83f6bd1ad58c36",Saturday,Saturday
"00716e5593e8eea55dbe7a29b72a70bc",Wednsday,Wednsday
"00738f5a17ec4450e88915357b085c1e",Wednsday,Wednsday
"0075c14603d80515e20908c156ceb47b",Monday,Wednsday
